ym,n,n_safety,frac,date,roll,se
2025-03,6701,341,0.0508879271750485,2025-03-01,0.0584479943382605,0.002684703447040062
2025-04,5689,345,0.060643346809632626,2025-04-01,0.061737365888501615,0.003164381753536737
2025-05,9324,687,0.07368082368082368,2025-05-01,0.06630582397528767,0.0027055553994655757
2025-06,7524,486,0.0645933014354067,2025-06-01,0.06556214299483067,0.002833802542185489
2025-07,6437,376,0.058412303868261614,2025-07-01,0.060600999556199076,0.0029230806684439575
2025-08,6752,397,0.05879739336492891,2025-08-01,0.060149936030783,0.0028628881465152895
2025-09,7938,502,0.06324011085915848,2025-09-01,0.06552503509577602,0.0027318377828241167
2025-10,9029,673,0.07453760106324067,2025-10-01,0.06632545377717189,0.002764058740533272
2025-11,7108,435,0.06119864940911649,2025-11-01,0.06816617648358206,0.0028430471498333706
2025-12,6108,420,0.068762278978389,2025-12-01,0.06913974843672616,0.003237843820776698
2026-01,7617,590,0.07745831692267297,2026-01-01,0.07665918515833835,0.0030629157368599075
2026-02,8262,692,0.08375695957395304,2026-02-01,0.07944703578231946,0.003047706919165148
2026-03,8726,673,0.07712583085033234,2026-03-01,0.08506904866337199,0.0028560352852400354
2026-04,8651,816,0.09432435556583053,2026-04-01,0.0879883693925791,0.003142426378706838
2026-05,12398,1147,0.09251492176157444,2026-05-01,0.09348573262280081,0.0026022548298484543
2026-06,9464,886,0.09361792054099746,2026-06-01,0.09306642115128597,0.002994317058447663
